fips,rate
21149,0.106
21151,0.087
21153,0.214
21155,0.129
21157,0.107
21159,0.124
21161,0.111
21163,0.124
21165,0.147
21167,0.108
21169,0.158
21171,0.14
21173,0.126
21175,0.145
21177,0.107
21179,0.115
21181,0.125
21183,0.094
21185,0.086
21187,0.101
21189,0.112
21191,0.117
21193,0.125
21195,0.107
21197,0.167
21199,0.1
21201,0.096
21203,0.128
21205,0.086
21207,0.108
21209,0.091
21211,0.096
21213,0.118
21215,0.102
21217,0.102
21219,0.126
21221,0.16
21223,0.107
21225,0.108
21227,0.092
21229,0.127
21231,0.136
21233,0.088
21235,0.114
21237,0.139
21239,0.083
22001,0.071
22003,0.101
22005,0.067
22007,0.088
22009,0.081
22011,0.08
22013,0.105
22015,0.064
22017,0.079
22019,0.072
22021,0.107
22023,0.056
22025,0.103
22027,0.103
22029,0.113
22031,0.09
22033,0.068
22035,0.142
22037,0.08
22039,0.086
22041,0.113
22043,0.082
22045,0.076
22047,0.104
22049,0.078
22051,0.065
22053,0.064
22055,0.059
22057,0.049
22059,0.073
22061,0.078
22063,0.07
22065,0.093
22067,0.151
22069,0.084
22071,0.107
22073,0.076
22075,0.062
22077,0.079
22079,0.069
22081,0.096
22083,0.107
22085,0.081
22087,0.105
22089,0.065
22091,0.118
22093,0.1
22095,0.084
22097,0.083
22099,0.075
22101,0.086
22103,0.052
22105,0.081
22107,0.135
22109,0.052
22111,0.122
22113,0.072
22115,0.067
22117,0.096
22119,0.091
22121,0.074
22123,0.17
22125,0.082
22127,0.091
23001,0.084
23003,0.093
23005,0.065
23007,0.112
23009,0.068
23011,0.073
23013,0.07
23015,0.063
23017,0.109
23019,0.08
23021,0.116
23023,0.067
23025,0.107
23027,0.078
23029,0.104
23031,0.074
24001,0.075
24003,0.065
24005,0.077
24009,0.059
24011,0.088
24013,0.06
24015,0.086
24017,0.059
24019,0.109
24021,0.059
24023,0.069
24025,0.071
24027,0.054
24029,0.071
24031,0.053
24033,0.073
24035,0.066
24037,0.056
24039,0.095
24041,0.068
24043,0.094
24045,0.077
24047,0.075
24510,0.106
25001,0.08
25003,0.084
25005,0.118
25007,0.05
25009,0.101
25011,0.087
25013,0.105
25015,0.073
25017,0.081
25019,0.05
25021,0.085
25023,0.097
25025,0.093
25027,0.101
26001,0.167
26003,0.12
26005,0.132
26007,0.139
26009,0.147
26011,0.158
26013,0.243
26015,0.105
26017,0.123
26019,0.12
26021,0.135
26023,0.14
26025,0.124
26027,0.114
26029,0.139
26031,0.086
26033,0.116
26035,0.168
26037,0.094
26039,0.137
26041,0.115
26043,0.12
26045,0.103
26047,0.122
26049,0.158
26051,0.165
26053,0.133
26055,0.12
26057,0.137
26059,0.172
26061,0.102
26063,0.148
26065,0.116
26067,0.134
26069,0.164
26071,0.117
26073,0.085
26075,0.149
26077,0.112
26079,0.143
26081,0.117
26083,0.119
26085,0.175
26087,0.181
26089,0.09
26091,0.161
26093,0.136
26095,0.132
26097,0.061
26099,0.181
26101,0.126
26103,0.101
26105,0.129
26107,0.13
26109,0.125
26111,0.102
26113,0.15
26115,0.142
26117,0.176
26119,0.189
26121,0.16
26123,0.138
26125,0.156
26127,0.152
26129,0.127
26131,0.138
26133,0.153
26135,0.191
26137,0.147
26139,0.128
26141,0.16
26143,0.146
26145,0.129
26147,0.19
26149,0.139
26151,0.178
26153,0.127
26155,0.152
26157,0.163
26159,0.132
26161,0.093
26163,0.183
26165,0.183
27001,0.081
27003,0.079
27005,0.064
27007,0.072
27009,0.07
27011,0.045
27013,0.063
27015,0.055
27017,0.073
27019,0.07
27021,0.079
27023,0.061
27025,0.084
27027,0.036
27029,0.091
27031,0.047
27033,0.052
27035,0.074
27037,0.069
27039,0.061
27041,0.056
27043,0.076
27045,0.07
27047,0.076
27049,0.067
27051,0.068
27053,0.073
27055,0.071
27057,0.073
27059,0.083
27061,0.092
27063,0.047
27065,0.103
27067,0.055
27069,0.052
27071,0.073
27073,0.054
27075,0.075
27077,0.069
27079,0.086
